Product,Revenue,Session,Time
LRTORY,85062,4.977941176,10.73409368
SXBFDF,84055,5.653333333,9.556524763
LYSBCN,83691,3.296398892,6.62943572
CDGCAI,82898,4.827586207,11.14151275
LRTLYS,82511,4.337765957,9.263701476
BESPTP,82406,4.920634921,10.36062391
LYSCDG,81856,4.564885496,8.910160885
MRSBKK,81797,7.481481481,10.69589332
NTEAMS,81648,4.596385542,9.222894698
BODBKK,81571,5.456521739,8.618077234
MPLJFK,80548,5.371794872,8.140549434
LYSVCE,80178,3.519313305,7.956486626
MRSMIA,79488,4.974025974,10.29640284
TLSCAY,79301,4.882352941,10.15159975
LYSFCO,79220,3.889679715,6.84287896
CDGNDJ,78393,4.313432836,7.082176432
CDGBES,76983,4.835616438,8.760187102
BODAMS,74972,4.536945813,9.161190256
CDGJIB,74499,5.382978723,10.70270567
LINCDG,74246,6.747404844,13.16708658
FCOCDG,74109,5.178217822,10.91698747
CDGGOA,74080,4.142857143,8.502201136
MRSSXM,73751,6.561403509,12.79378417
CDGBGF,73674,3.709302326,8.488125224
NTELCY,73659,3.788918206,7.342607358
RUNMRS,73507,3.464285714,6.178572656
ORYPAP,73459,4.492307692,9.295132018
NCEETZ,73220,4.402515723,8.90842288
CDGNKC,73178,4.2125,9.145296302
LISCDG,73077,3.059347181,6.479759572
ETZNCE,72848,3.510791367,7.610063905
CFECDG,71391,4.881619938,9.772407031
NTECDG,71203,4.895522388,8.723058257
NTEBCN,70769,4.541237113,8.304623498
NTEYUL,70742.71,4.979166667,8.211672351
LYSYUL,70726,3.234693878,7.238748933
MRSMLH,70346,4.098566308,8.440051881
MADCDG,70226,4.737588652,9.495539962
CDGBRE,69157,4.40397351,9.254747311
FDFBOD,69144,5.99009901,10.44781351
CDGCGN,68800,4.698113208,10.98700392
FSCORY,68705,5.330578512,10.71202322
MRSCAY,68132,5.083333333,11.31525401
CDGPSA,67759,4.252747253,8.673915851
CDGLOS,67433,3.212765957,5.177539268
MRSLAX,67326,6.051724138,11.64350643
NCEAJA,67056,3.835475578,8.011972909
BODCAY,67038,5.870967742,11.62323027
MRSATH,66681,4.860294118,9.65621819
CDGLEJ,66135,3.10880829,7.000620469
PTPBOD,65416,6.741176471,10.96804531
CDGOVD,65097,4.411392405,9.49347092
MRSFSC,64970,3.195652174,7.375492727
TLNPTP,64897,5.766666667,9.386173041
CDGVGO,64410,4.14379085,7.147416829
BESRUN,64406,4.066666667,7.532887288
RUNTLS,64063,5.533333333,8.823457005
NCESXM,63848,4.944444444,11.13767549
MLHCDG,63108,4.455882353,9.164287856
TXLCDG,62735,3.547528517,7.356886805
MUCCDG,62594,3.825112108,9.540760983
NCEBES,62471,4.252,9.105148949
MRSTLS,62454,4.801147228,11.26546849
NCEBIA,62199,3.571428571,8.972283305
RUNBOD,62014,3.84,8.45972506
CDGABZ,61444,3.301204819,7.348171315
PTPCAY,60893,3.867924528,11.44735396
FDFTLS,59814,4.912087912,9.49516079
TLSETZ,59546,4.2,8.220576125
DUBCDG,59522,4.04620462,7.576312686
NCEFCO,59476,4.386100386,8.807458186
MRSPRG,59391,3.866920152,7.603434656
NCEMIA,59248,6.274193548,11.02979525
MRSBIQ,58579,4.45959596,8.773004705
LRTPTP,58322,5.627906977,8.726731688
TLNFDF,58154,4.152542373,7.850172198
NTELIL,57951,4.4,10.58385613
CLYORY,57273,5.125592417,11.03079366
LILNTE,57152,4.037634409,9.220862692
SFOCDG,57085.72,4.065217391,9.966258994
MRSSVO,56875,4.073446328,9.537110733
NTEJFK,56745,5.3,9.681963596
LAXCDG,56726.52,4.533333333,9.623323178
CDGEVN,56328,4.601941748,8.920154732
MLHMRS,56172,4.14790287,7.794147354
LYSDUS,56050,4.037037037,7.820007328
IADCDG,55316.78,7.136363636,12.03231305
CDGDTW,55110,4.041666667,8.674304183
BODFCO,55097,4.728682171,8.82387529
VIECDG,54507,4.2,9.449385438
NCEAMS,53336,4.631868132,8.366484691
NCEYUL,52814,5.126436782,8.581820078
BIAMRS,52471,3.778846154,7.831119773
CPHCDG,52371,4.606060606,9.3096977
CDGLJU,52327,4.922222222,8.874895001
TLSMRS,52124,4.8,10.61480762
MEXCDG,51627.56,4.895833333,9.469212974
BCNCDG,51579,4.830065359,9.49737653
CDGNBO,51080,4.2,6.352375538
BOSCDG,50957.24,6.507936508,11.49458738
CDGBLL,50950,3.006849315,7.466116051
MRSDUS,50218,4.51536643,8.426900679
